Deklination,Typ,Kasus,Genus,Numerus,Endung
a,1,Nom.,f,Sg,η
a,1,Gen.,f,Sg,ης
a,1,Dat.,f,Sg,ῃ
a,1,Akk.,f,Sg,ην
a,1,Vok.,f,Sg,η
a,1,Nom.,f,Pl,αι
a,1,Gen.,f,Pl,ῶν
a,1,Dat.,f,Pl,αις
a,1,Akk.,f,Pl,ᾱς
a,1,Vok.,f,Pl,αι
a,2,Nom.,f,Sg,α
a,2,Gen.,f,Sg,ης
a,2,Dat.,f,Sg,ῃ
a,2,Akk.,f,Sg,αν
a,2,Vok.,f,Sg,α
a,2,Nom.,f,Pl,αι
a,2,Gen.,f,Pl,ῶν
a,2,Dat.,f,Pl,αις
a,2,Akk.,f,Pl,ᾱς
a,2,Vok.,f,Pl,αι
a,3a,Nom.,f,Sg,ᾱ
a,3a,Gen.,f,Sg,ᾱς
a,3a,Dat.,f,Sg,ᾳ
a,3a,Akk.,f,Sg,ᾱν
a,3a,Vok.,f,Sg,ᾱ
a,3a,Nom.,f,Pl,αι
a,3a,Gen.,f,Pl,ῶν
a,3a,Dat.,f,Pl,αις
a,3a,Akk.,f,Pl,ᾱς
a,3a,Vok.,f,Pl,αι
a,3b,Nom.,f,Sg,α
a,3b,Gen.,f,Sg,ᾱς
a,3b,Dat.,f,Sg,ᾳ
a,3b,Akk.,f,Sg,αν
a,3b,Vok.,f,Sg,α
a,3b,Nom.,f,Pl,αι
a,3b,Gen.,f,Pl,ῶν
a,3b,Dat.,f,Pl,αις
a,3b,Akk.,f,Pl,ᾱς
a,3b,Vok.,f,Pl,αι
o,-,Nom.,m,Sg,ος
o,-,Gen.,m,Sg,ου
o,-,Dat.,m,Sg,ῳ
o,-,Akk.,m,Sg,ον
o,-,Vok.,m,Sg,ε
o,-,Nom.,m,Pl,οι
o,-,Gen.,m,Pl,ῶν
o,-,Dat.,m,Pl,οις
o,-,Akk.,m,Pl,ους
o,-,Vok.,m,Pl,οι
o,-,Nom.,n,Sg,ον
o,-,Gen.,n,Sg,ου
o,-,Dat.,n,Sg,ῳ
o,-,Akk.,n,Sg,ον
o,-,Vok.,n,Sg,ον
o,-,Nom.,n,Pl,α
o,-,Gen.,n,Pl,ῶν
o,-,Dat.,n,Pl,οις
o,-,Akk.,n,Pl,α
o,-,Vok.,n,Pl,α
