Konjugation,Tempus,Modus,Diathese,Person,Numerus,Endung
1,Praesens,Indikativ,Aktiv,1,Sg,o
1,Praesens,Indikativ,Aktiv,2,Sg,as
1,Praesens,Indikativ,Aktiv,3,Sg,at
1,Praesens,Indikativ,Aktiv,1,Pl,amus
1,Praesens,Indikativ,Aktiv,2,Pl,atis
1,Praesens,Indikativ,Aktiv,3,Pl,ant
1,Praesens,Indikativ,Passiv,1,Sg,r
1,Praesens,Indikativ,Passiv,2,Sg,aris
1,Praesens,Indikativ,Passiv,3,Sg,atur
1,Praesens,Indikativ,Passiv,1,Pl,amur
1,Praesens,Indikativ,Passiv,2,Pl,amini
1,Praesens,Indikativ,Passiv,3,Pl,antur
2,Praesens,Indikativ,Aktiv,1,Sg,eo
2,Praesens,Indikativ,Aktiv,2,Sg,es
2,Praesens,Indikativ,Aktiv,3,Sg,et
2,Praesens,Indikativ,Aktiv,1,Pl,emus
2,Praesens,Indikativ,Aktiv,2,Pl,etis
2,Praesens,Indikativ,Aktiv,3,Pl,ent
2,Praesens,Indikativ,Passiv,1,Sg,eor
2,Praesens,Indikativ,Passiv,2,Sg,eris
2,Praesens,Indikativ,Passiv,3,Sg,etur
2,Praesens,Indikativ,Passiv,1,Pl,emur
2,Praesens,Indikativ,Passiv,2,Pl,emini
2,Praesens,Indikativ,Passiv,3,Pl,entur
3,Praesens,Indikativ,Aktiv,1,Sg,o
3,Praesens,Indikativ,Aktiv,2,Sg,is
3,Praesens,Indikativ,Aktiv,3,Sg,it
3,Praesens,Indikativ,Aktiv,1,Pl,imus
3,Praesens,Indikativ,Aktiv,2,Pl,itis
3,Praesens,Indikativ,Aktiv,3,Pl,unt
3,Praesens,Indikativ,Passiv,1,Sg,or
3,Praesens,Indikativ,Passiv,2,Sg,eris
3,Praesens,Indikativ,Passiv,3,Sg,itur
3,Praesens,Indikativ,Passiv,1,Pl,imur
3,Praesens,Indikativ,Passiv,2,Pl,imini
3,Praesens,Indikativ,Passiv,3,Pl,untur
